dataset,shapelet_num,shapelet_len,crop_len,train_acc,test_acc
FordA,50,125,62,0.891419,0.803788
FordA,50,125,87,0.894196,0.806061
FordA,50,125,125,0.901972,0.796970
FordA,50,175,35,0.898084,0.779545
FordA,50,175,87,0.860317,0.807576
FordA,50,175,122,0.902249,0.795455
FordA,50,175,175,0.907248,0.801515
FordA,60,75,15,0.912802,0.809848
FordA,60,75,37,0.881977,0.835606
FordA,60,75,52,0.922799,0.809091
FordA,60,75,75,0.921966,0.814394
FordA,60,125,25,0.909192,0.818939
FordA,60,125,62,0.885310,0.806061
FordA,60,125,87,0.880311,0.871970
FordA,60,125,125,0.883088,0.806818
FordA,60,175,35,0.886976,0.797727
FordA,60,175,87,0.904749,0.849242
FordA,60,175,122,0.906693,0.830303
FordA,60,175,175,0.909747,0.812121
Ham,40,64,12,0.981651,0.676190
Ham,40,64,32,0.981651,0.685714
Ham,40,64,44,0.944954,0.704762
Ham,40,64,64,0.825688,0.723810
Ham,40,107,21,0.954128,0.628571
Ham,40,107,53,0.981651,0.723810
Ham,40,107,74,0.972477,0.723810
Ham,40,107,107,0.990826,0.752381
Ham,40,150,30,0.972477,0.714286
Ham,40,150,75,0.990826,0.742857
Ham,40,150,105,1.000000,0.704762
Ham,40,150,150,0.981651,0.676190
Ham,50,64,12,0.972477,0.638095
Ham,50,64,32,0.917431,0.714286
Ham,50,64,44,0.954128,0.704762
Ham,50,64,64,0.990826,0.714286
Ham,50,107,21,0.770642,0.657143
Ham,50,107,53,0.954128,0.733333
Ham,50,107,74,0.871560,0.704762
Ham,50,107,107,0.963303,0.780952
Ham,50,150,30,0.963303,0.723810
Ham,50,150,75,0.972477,0.647619
Ham,50,150,105,0.834862,0.657143
Ham,50,150,150,0.990826,0.723810
Ham,60,64,12,0.972477,0.647619
Ham,60,64,32,1.000000,0.685714
Ham,60,64,44,1.000000,0.704762
Ham,60,64,64,0.990826,0.695238
Ham,60,107,21,0.834862,0.733333
Ham,60,107,53,0.990826,0.733333
Ham,60,107,74,0.935780,0.704762
Ham,60,107,107,0.990826,0.742857
Ham,60,150,30,0.935780,0.695238
Ham,60,150,75,0.972477,0.657143
Ham,60,150,105,0.963303,0.695238
Ham,60,150,150,0.972477,0.704762
ShapeletSim,40,75,15,0.950000,0.905556
ShapeletSim,40,75,37,0.900000,0.716667
ShapeletSim,40,75,52,0.800000,0.616667
ShapeletSim,40,75,75,0.750000,0.783333
ShapeletSim,40,125,25,0.800000,0.666667
ShapeletSim,40,125,62,0.800000,0.744444
ShapeletSim,40,125,87,0.850000,0.838889
ShapeletSim,40,125,125,0.850000,0.850000
ShapeletSim,40,175,35,0.850000,0.672222
ShapeletSim,40,175,87,0.800000,0.716667
ShapeletSim,40,175,122,0.750000,0.633333
ShapeletSim,40,175,175,0.800000,0.672222
ShapeletSim,50,75,15,0.900000,0.794444
ShapeletSim,50,75,37,0.900000,0.944444
ShapeletSim,50,75,52,0.950000,0.888889
ShapeletSim,50,75,75,0.900000,0.833333
ShapeletSim,50,125,25,0.850000,0.738889
ShapeletSim,50,125,62,0.950000,0.850000
ShapeletSim,50,125,87,0.800000,0.866667
ShapeletSim,50,125,125,0.800000,0.677778
ShapeletSim,50,175,35,0.750000,0.694444
ShapeletSim,50,175,87,0.800000,0.650000
ShapeletSim,50,175,122,0.750000,0.588889
ShapeletSim,60,75,15,0.800000,0.777778
ShapeletSim,60,75,37,0.950000,0.861111
ShapeletSim,60,75,52,0.900000,0.833333
ShapeletSim,60,75,75,0.850000,0.894444
ShapeletSim,60,125,25,0.900000,0.800000
ShapeletSim,60,125,62,0.500000,0.638889
ShapeletSim,60,125,87,0.700000,0.683333
ShapeletSim,60,125,125,0.850000,0.688889
ShapeletSim,60,175,35,0.850000,0.722222
ShapeletSim,60,175,87,0.900000,0.750000
ShapeletSim,60,175,122,0.900000,0.833333
SonyAIBORobotSurface1,40,10,2,0.900000,0.653910
SonyAIBORobotSurface1,40,10,5,0.950000,0.698835
